150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KUDUS,0.19,0.25,0.12,0.89,0.14,0.26,0.04,0.02,0.03,0.08,0.12,0.02,-,0.19,0.25,0.12,0.89,0.14,0.26,0.04,0.02,0.03,0.08,0.12,0.02,-
KOTA SURAKARTA,0.34,0.49,0.72,0.35,0.03,0.24,0.15,0.35,0.03,0.2,0.14,0.14,-,0.34,0.49,0.72,0.35,0.03,0.24,0.15,0.35,0.03,0.2,0.14,0.14,-
KOTA SEMARANG,0.73,0.08,0.18,0.94,0.23,0.08,0.05,0.07,0,0.05,0.04,0.07,-,0.73,0.08,0.18,0.94,0.23,0.08,0.05,0.07,0,0.05,0.04,0.07,-
KOTA TEGAL,0.19,0.01,0.54,0.9,0.44,0.07,0,0,0.04,0,0.03,0,-,0.19,0.01,0.54,0.9,0.44,0.07,0,0,0.04,0,0.03,0,-
KAB GUNUNGKIDUL,0.57,0.23,0.2,0,0,0,0,0,0,0.2,0,0,-,0.57,0.23,0.2,0,0,0,0,0,0,0.2,0,0,-
KOTA YOGYAKARTA,0.07,0.34,0.27,0.22,0.08,0.3,0.24,0.13,0.11,0.02,0.01,0.05,-,0.07,0.34,0.27,0.22,0.08,0.3,0.24,0.13,0.11,0.02,0.01,0.05,-
KAB TULUNGAGUNG,0.08,0,0,0.06,0.05,0,0,0,0,0,0,0,-,0.08,0,0,0.06,0.05,0,0,0,0,0,0,0,-
JEMBER,0.06,0.01,0.51,0.38,0.07,0.21,0.07,0.07,0.21,0.09,0.21,0.15,-,0.06,0.01,0.51,0.38,0.07,0.21,0.07,0.07,0.21,0.09,0.21,0.15,-
BANYUWANGI,0.09,0,0.09,0.41,0,0,0,0,0,0,0,0,-,0.09,0,0.09,0.41,0,0,0,0,0,0,0,0,-
KAB BOJONEGORO,1.07,0.09,0.23,0.16,0.05,0.31,0,0,0.2,0.04,0,0.1,-,1.07,0.09,0.23,0.16,0.05,0.31,0,0,0.2,0.04,0,0.1,-
KAB GRESIK,0.01,0.05,0.22,0.05,0.14,0.12,0.09,0,0,0,0,0.34,-,0.01,0.05,0.22,0.05,0.14,0.12,0.09,0,0,0,0,0.34,-
SUMENEP,0.05,0,0.07,0.26,0.17,0.23,0.02,0,0,0.21,0,0,-,0.05,0,0.07,0.26,0.17,0.23,0.02,0,0,0.21,0,0,-
KOTA KEDIRI,0.37,0,0,0.2,0.14,0,0,0,0.02,0,0,0.33,-,0.37,0,0,0.2,0.14,0,0,0,0.02,0,0,0.33,-
KOTA MALANG,0.07,0.1,0.04,0.17,0.09,0.3,0.05,0,0.02,0.02,0.01,0.03,-,0.07,0.1,0.04,0.17,0.09,0.3,0.05,0,0.02,0.02,0.01,0.03,-
KOTA PROBOLINGGO,0.14,0,0.1,0.07,0.31,0,0.08,0.14,0,0,0.07,0.13,-,0.14,0,0.1,0.07,0.31,0,0.08,0.14,0,0,0.07,0.13,-
KOTA MADIUN,0.39,0.08,0.12,0.16,0.08,0.01,0,0.05,0.13,0.04,0.04,0.35,-,0.39,0.08,0.12,0.16,0.08,0.01,0,0.05,0.13,0.04,0.04,0.35,-
KOTA SURABAYA,0.32,0.03,0.21,0.1,0.1,0.06,0.04,0.03,0.02,0.09,0.01,0.14,-,0.32,0.03,0.21,0.1,0.1,0.06,0.04,0.03,0.02,0.09,0.01,0.14,-
KAB PANDEGLANG,0.65,0.04,0.4,0.34,0,0.02,0,0,0,0.02,0.06,0,-,0.65,0.04,0.4,0.34,0,0.02,0,0,0,0.02,0.06,0,-
KAB LEBAK,0.01,0.24,0,0.12,0.43,0,0,0,0.57,0.16,0,0.15,-,0.01,0.24,0,0.12,0.43,0,0,0,0.57,0.16,0,0.15,-
KOTA TANGERANG,0,0.22,0.19,0,0,0,0,0.09,0.86,0.17,0.05,0.01,-,0,0.22,0.19,0,0,0,0,0.09,0.86,0.17,0.05,0.01,-
KOTA CILEGON,0.24,0.05,0,0.43,0.08,0.42,0.07,0.17,0.09,0.11,0.02,0.14,-,0.24,0.05,0,0.43,0.08,0.42,0.07,0.17,0.09,0.11,0.02,0.14,-
KOTA SERANG,0,0.01,0.15,0.03,0,0.61,0.08,0.01,0.05,0,0.14,0.07,-,0,0.01,0.15,0.03,0,0.61,0.08,0.01,0.05,0,0.14,0.07,-
KAB TABANAN,0.82,0.18,0,0,0,0.01,0,0.23,0.03,0,1.08,0.07,-,0.82,0.18,0,0,0,0.01,0,0.23,0.03,0,1.08,0.07,-
KAB BADUNG,0.09,0.09,0,0,0,0.07,0,0.1,0,0,0,0,-,0.09,0.09,0,0,0,0.07,0,0.1,0,0,0,0,-
SINGARAJA,0,0,0,0,0,0,0,0,0.05,0.22,0,0,-,0,0,0,0,0,0,0,0,0.05,0.22,0,0,-
KOTA DENPASAR,1.54,0.56,0.06,0.06,0.17,0.07,0.11,0.19,0,0,0.28,0.01,-,1.54,0.56,0.06,0.06,0.17,0.07,0.11,0.19,0,0,0.28,0.01,-
KAB SUMBAWA,0.94,0,0,0,0,0,0,0,0.1,0,0.22,0,-,0.94,0,0,0,0,0,0,0,0.1,0,0.22,0,-
KOTA MATARAM,0.01,0.31,0.12,0.27,0,0.73,0.09,0.11,0.27,0,0.11,0,-,0.01,0.31,0.12,0.27,0,0.73,0.09,0.11,0.27,0,0.11,0,-
KOTA BIMA,0.33,0,0,0.15,0,0,0.06,0,0.02,0.13,0.1,0.39,-,0.33,0,0,0.15,0,0,0.06,0,0.02,0.13,0.1,0.39,-
WAINGAPU,0.55,0.2,0,0,0,0,0,0,0.5,0,0,0,-,0.55,0.2,0,0,0,0,0,0,0.5,0,0,0,-
KAB TIMOR TENGAH SELATAN,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
MAUMERE,0,0.07,0,0.04,0,0.06,0.04,0.31,0,0,0.16,0,-,0,0.07,0,0.04,0,0.06,0.04,0.31,0,0,0.16,0,-
KAB NGADA,0.75,0,0,0,0,0,0,1.22,0,0,0,0,-,0.75,0,0,0,0,0,0,1.22,0,0,0,0,-
KOTA KUPANG,1.87,0.56,0,0.14,0,0,0,0.05,0,0.66,0.01,0.08,-,1.87,0.56,0,0.14,0,0,0,0.05,0,0.66,0.01,0.08,-
KAB KETAPANG,0,0,0.05,0.65,0,0.05,0,0,0,0,0,0,-,0,0,0.05,0.65,0,0.05,0,0,0,0,0,0,-
SINTANG,0,0.15,0,0,0,0,0,0,0,0,0,0,-,0,0.15,0,0,0,0,0,0,0,0,0,0,-
KAB KAYONG UTARA,0,0,0,0,0,0,0,0,0,0,0,0.25,-,0,0,0,0,0,0,0,0,0,0,0,0.25,-
KOTA PONTIANAK,0.14,0,0,0.38,0,0.56,0.23,0,0,0.03,0,0.17,-,0.14,0,0,0.38,0,0.56,0.23,0,0,0.03,0,0.17,-
KOTA SINGKAWANG,0,0,0,0,0,0,0,0.09,0,0,0,0,-,0,0,0,0,0,0,0,0.09,0,0,0,0,-
SAMPIT,1.35,0.18,0.35,0.77,0.03,1.43,0.45,0.15,0.14,0.12,0.07,0.35,-,1.35,0.18,0.35,0.77,0.03,1.43,0.45,0.15,0.14,0.12,0.07,0.35,-
KAB KAPUAS,0.44,0.11,0.12,0.23,0.31,0.16,1.07,0,0,0.02,0,0,-,0.44,0.11,0.12,0.23,0.31,0.16,1.07,0,0,0.02,0,0,-
KAB SUKAMARA,0.42,0.31,0.52,0,0,0.07,0,0.16,0,0,0,0.11,-,0.42,0.31,0.52,0,0,0.07,0,0.16,0,0,0,0.11,-
KOTA PALANGKARAYA,0.3,0.07,0.3,0.1,0.16,0.34,0.35,0.02,0.6,0.12,0.1,0.33,-,0.3,0.07,0.3,0.1,0.16,0.34,0.35,0.02,0.6,0.12,0.1,0.33,-
KAB TANAH LAUT,0.04,0.83,1.34,0.81,0.48,0.53,0,0,0.01,0.18,0.3,0.06,-,0.04,0.83,1.34,0.81,0.48,0.53,0,0,0.01,0.18,0.3,0.06,-
KOTABARU,0,0.15,0,0,0,0,0,1.39,0,0.35,0,0.31,-,0,0.15,0,0,0,0,0,1.39,0,0.35,0,0.31,-
KAB HULU SUNGAI TENGAH,0.16,0,0,0,0.25,0,0,0,0,0,0,0,-,0.16,0,0,0,0.25,0,0,0,0,0,0,0,-
TANJUNG,0.31,0.84,0.01,0.07,0,0,0.13,0,0,0,0.33,0.08,-,0.31,0.84,0.01,0.07,0,0,0.13,0,0,0,0.33,0.08,-
