150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BOGOR,1.19,2.31,2.39,2.53,2.48,2.48,2.59,2.54,2.52,2.23,2.08,1.87,-,1.19,2.31,2.39,2.53,2.48,2.48,2.59,2.54,2.52,2.23,2.08,1.87,-
KOTA SUKABUMI,3.9,4.58,3.62,3.46,3.39,3.83,3.83,3.83,3.93,3.93,2.77,2.65,-,3.9,4.58,3.62,3.46,3.39,3.83,3.83,3.83,3.93,3.93,2.77,2.65,-
KOTA BANDUNG,2.42,1.66,1.02,0.97,0.9,0.81,0.82,0.8,0.8,0.85,0.65,0.53,-,2.42,1.66,1.02,0.97,0.9,0.81,0.82,0.8,0.8,0.85,0.65,0.53,-
KOTA CIREBON,2.27,2.26,2.64,3.14,3.12,3.61,3.47,3.19,3.24,3.2,3.27,3.21,-,2.27,2.26,2.64,3.14,3.12,3.61,3.47,3.19,3.24,3.2,3.27,3.21,-
KOTA BEKASI,2.1,2.14,2.11,1.84,1.73,1.67,1.68,1.8,1.78,1.12,1.11,1.02,-,2.1,2.14,2.11,1.84,1.73,1.67,1.68,1.8,1.78,1.12,1.11,1.02,-
KOTA DEPOK,3.34,3.03,2.83,3.26,3.13,3.18,3.24,2.78,1.92,1.7,1.47,1.52,-,3.34,3.03,2.83,3.26,3.13,3.18,3.24,2.78,1.92,1.7,1.47,1.52,-
KOTA TASIKMALAYA,0.47,0.47,0.47,0.49,0.39,0.4,0.42,0.47,0.4,0.43,0.47,0.36,-,0.47,0.47,0.47,0.49,0.39,0.4,0.42,0.47,0.4,0.43,0.47,0.36,-
CILACAP,1.21,1.72,1.59,2.14,2.35,2.38,2.26,2.29,2.14,2.1,2.09,1.99,-,1.21,1.72,1.59,2.14,2.35,2.38,2.26,2.29,2.14,2.1,2.09,1.99,-
PURWOKERTO,1.3,1.86,1.76,2.04,2.08,2.02,2.01,1.98,2.03,1.97,1.88,2.12,-,1.3,1.86,1.76,2.04,2.08,2.02,2.01,1.98,2.03,1.97,1.88,2.12,-
KAB WONOSOBO,0.33,0.31,0.58,0.58,0.61,0.61,0.56,0.63,0.63,0.38,0.45,0.7,-,0.33,0.31,0.58,0.58,0.61,0.61,0.56,0.63,0.63,0.38,0.45,0.7,-
KAB WONOGIRI,2.59,2.93,2.88,3.48,3.27,3.69,2.8,2.8,1.72,1.72,1.83,1.85,-,2.59,2.93,2.88,3.48,3.27,3.69,2.8,2.8,1.72,1.72,1.83,1.85,-
KAB REMBANG,3.28,2.66,2.62,2.74,2.66,2.73,2.54,2.26,2.09,2.06,2.09,2.06,-,3.28,2.66,2.62,2.74,2.66,2.73,2.54,2.26,2.09,2.06,2.09,2.06,-
KUDUS,1.82,1.92,1.96,2.43,2.39,2.54,2.57,2.4,2.4,2.37,2.21,2.18,-,1.82,1.92,1.96,2.43,2.39,2.54,2.57,2.4,2.4,2.37,2.21,2.18,-
KOTA SURAKARTA,2.43,2.88,3.29,3.06,2.8,3.04,3.17,3.53,3.56,3.69,3.65,3.2,-,2.43,2.88,3.29,3.06,2.8,3.04,3.17,3.53,3.56,3.69,3.65,3.2,-
KOTA SEMARANG,4.32,3.9,3.03,3.28,3.26,3.21,3.15,3.22,3.17,2.84,2.69,2.55,-,4.32,3.9,3.03,3.28,3.26,3.21,3.15,3.22,3.17,2.84,2.69,2.55,-
KOTA TEGAL,0.47,0.48,0.99,1.8,2.24,2.3,2.26,2.22,2.26,2.21,2.23,2.23,-,0.47,0.48,0.99,1.8,2.24,2.3,2.26,2.22,2.26,2.21,2.23,2.23,-
KAB GUNUNGKIDUL,0.75,0.98,1.18,1.18,1.08,1.08,1.08,1.08,1.05,1.21,1.21,1.21,-,0.75,0.98,1.18,1.18,1.08,1.08,1.08,1.08,1.05,1.21,1.21,1.21,-
KOTA YOGYAKARTA,1.89,2.24,2.3,2.34,2.27,2.37,2.59,2.62,2.54,2.34,2.05,1.85,-,1.89,2.24,2.3,2.34,2.27,2.37,2.59,2.62,2.54,2.34,2.05,1.85,-
KAB TULUNGAGUNG,0.89,0.83,0.83,0.89,0.94,0.94,0.81,0.81,0.57,0.37,0.37,0.18,-,0.89,0.83,0.83,0.89,0.94,0.94,0.81,0.81,0.57,0.37,0.37,0.18,-
JEMBER,1.37,1.07,1.48,1.8,1.64,1.85,1.85,1.84,1.96,1.81,1.97,2.07,-,1.37,1.07,1.48,1.8,1.64,1.85,1.85,1.84,1.96,1.81,1.97,2.07,-
BANYUWANGI,0.79,0.79,0.89,1.3,1.27,1.18,1.1,1.09,0.96,0.8,0.6,0.6,-,0.79,0.79,0.89,1.3,1.27,1.18,1.1,1.09,0.96,0.8,0.6,0.6,-
KAB BOJONEGORO,3.92,3.47,2.91,2.72,2.53,2.6,2.44,2.44,2.22,2.25,2.2,2.26,-,3.92,3.47,2.91,2.72,2.53,2.6,2.44,2.44,2.22,2.25,2.2,2.26,-
KAB GRESIK,1.81,1.85,1.35,1.2,1.34,1.46,1.46,1.05,0.85,0.78,0.71,1.01,-,1.81,1.85,1.35,1.2,1.34,1.46,1.46,1.05,0.85,0.78,0.71,1.01,-
SUMENEP,2.37,2.37,2.38,1.65,1.82,1.6,0.98,0.9,0.87,1.05,1.05,1.02,-,2.37,2.37,2.38,1.65,1.82,1.6,0.98,0.9,0.87,1.05,1.05,1.02,-
