150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB LAMPUNG TIMUR,1.41,-0.66,3.49,0.75,-1.68,-0.3,0.77,0.17,-1.07,-0.56,0.99,1.69,-,1.77,-0.83,4.4,0.92,-2.32,-0.37,0.96,0.07,-1.39,-0.72,1.22,2.12,-,0,0,0,0,2.22,0,0,0,-1.29,0,0.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0.58,0,0,0.79,0.74,0.04,0,0,-
KAB MESUJI,2.35,-0.72,1.49,2.12,-2.22,0.68,0.13,-0.06,-1.22,0.27,-0.15,1.96,-,2.47,-0.78,2.19,2.5,-2.91,0.85,0.2,-0.01,-1.58,0.24,-0.36,2.54,-,5.3,-2.32,-4.34,0,1.02,0,-0.55,-1.01,0.03,-0.04,0,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.02,0,0,1,0,0.08,0.04,0,0,0.48,0.71,0,-
KOTA BANDAR LAMPUNG,1.35,-0.36,1.64,0.18,-1.4,0.3,0.12,-1.2,0.82,0.36,0.39,1.11,-,1.58,-0.52,1.92,0.1,-1.85,0.31,0.1,-1.51,0.96,0.44,0.45,1.39,-,0.76,0.21,1.35,0.74,0.6,0.3,-0.23,0.06,0.02,-0.04,0.04,-0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.36,0.08,0.4,0.35,0.32,0.37,0.01,0.41,0.05,0.23,0.06,-
KOTA METRO,3.55,-1.41,1.65,-1.15,-1.59,-0.05,0.67,-0.82,1.35,-0.02,0.33,1.85,-,4.2,-1.75,2.04,-1.44,-2,-0.12,0.85,-1.05,1.71,-0.16,0.29,2.34,-,5.45,-0.32,0.74,0.02,-0.01,1.04,0.12,0.34,-0.17,2.58,1.08,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.01,0,0.01,0,0,0.02,0,0.01,0,0.34,0,-
TANJUNG PANDAN,3.19,-1.14,-3.29,2.21,-2.13,1.31,3.2,-1.41,1.13,2.2,-1.8,1.4,-,4.09,-1.45,-4.34,2.85,-2.83,1.71,4,-1.81,1.16,2.84,-2.26,1.79,-,0,0,0,0,0,0,0,-0.11,0,0,-0.92,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,0,0.54,0,0.36,0,0.6,0.11,1.34,0,0.09,0,-
KAB BANGKA BARAT,3.07,-0.64,1.58,1.13,-2.68,-1.02,0.34,0.11,1.44,0.61,1.41,2.34,-,3.75,-0.9,1.89,1.27,-3.33,-1.3,0.41,0.01,1.78,0.52,1.74,2.82,-,0,1.55,-0.01,0.24,0.16,0,-0.19,0.08,-0.25,0.31,-0.14,-0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.17,0.37,0.69,0.05,0.25,0.13,0.64,0.11,1.14,0.06,0.37,-
KAB BELITUNG TIMUR,2.9,-0.17,-1.74,1.36,-2.58,2,2.58,-1.55,-0.57,2.42,-0.04,0.63,-,3.51,-0.21,-2.19,1.71,-3.34,2.55,3.26,-2.01,-0.71,3.05,-0.06,0.79,-,0.95,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.53,0,0,0,0.5,0,0,0.39,0,0.02,0,0,-
KOTA PANGKAL PINANG,2.72,-0.25,-0.44,2.65,-2.87,1.28,1.31,-1.19,1.87,-0.1,1.94,0.17,-,3.3,-0.43,-0.6,3.38,-3.74,1.61,1.64,-1.46,2.23,-0.19,2.47,0.19,-,0.06,0.32,0.01,0.04,0.16,0.25,0.03,-1.27,1.89,0.28,0.11,-0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.96,0.42,0.12,0.05,0.4,0.11,0.18,0.19,0.1,0.19,0,0.21,-
KAB KARIMUN,3.18,-2.6,-1.07,3.37,-3.12,-1.55,1.16,2.25,2.04,-1.28,0.12,2.13,-,3.87,-3.14,-1.4,4.11,-3.77,-1.89,1.37,2.57,2.31,-1.55,0.03,2.59,-,-0.11,0,1.02,-0.2,0.01,0,0,0,0,0,0.15,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.07,0,0.06,0.03,0,0.29,1.28,1.2,0,0.67,0.02,-
KOTA BATAM,2.44,-0.77,-0.01,0.39,-1.61,-0.45,0.33,0.59,1.78,-0.02,-0.41,2.88,-,2.85,-0.97,-0.07,0.4,-2.11,-0.59,0.28,0.65,2.08,-0.08,-0.5,3.42,-,0.54,0.05,0.1,0.03,0.48,0,0.25,0,0.07,-0.01,0,0.16,-,-0.71,1.33,0,0.43,0,0,-1.03,0,0,0,1.62,0,-,0.43,0.36,0.42,0.62,1.18,0.29,0.87,0.53,0.58,0.49,0.01,0.54,-
